32,1,0,32766,3840,61696,48,49
16,2,-1,32672,32766,3840,91,84
32,3,-2,32789,32672,32766,96,84
16,2,-1,32672,32766,3840,19,12
32,3,-2,32789,32672,32766,0,12
32,1,0,32777,32766,61696,96,97
16,2,-1,32683,32777,32766,91,84
32,3,-2,32777,32766,32777,14,21
16,4,-3,32660,32777,32766,9,21
32,1,0,32776,32766,61696,96,98
16,2,-1,32682,32776,32766,91,84
32,3,-2,32776,32766,32776,14,21
16,4,-3,32659,32776,32766,9,21
32,1,0,32777,32766,61696,0,1
16,2,-1,32683,32777,32766,91,84
32,3,-2,32800,32766,32777,96,84
16,2,-1,32683,32777,32766,19,12
32,3,-2,32777,32766,32777,86,93
16,4,-3,32660,32777,32766,105,93
32,1,0,32776,32766,61696,0,2
16,2,-1,32682,32776,32766,91,84
32,3,-2,32799,32766,32776,96,84
16,2,-1,32682,32776,32766,19,12
32,3,-2,32776,32766,32776,86,93
16,4,-3,32659,32776,32766,105,93
32,1,0,32768,32766,61696,86,85
16,2,-1,32674,32768,32766,19,12
32,3,-2,32791,32766,32768,0,12
16,2,-1,32674,32768,32766,91,84
32,3,-2,32791,32766,32768,96,84
32,1,0,32767,32768,61696,86,87
32,1,0,32767,32768,61696,86,88
32,1,0,32766,32768,61696,86,89
32,1,0,32766,32768,61696,86,90
32,1,0,32862,32768,61696,86,93
16,2,-1,32745,32862,32768,105,93
32,3,-2,32839,32768,32862,14,21
16,4,-3,32722,32839,32768,9,21
32,1,0,32768,32768,61696,86,74
32,1,0,32770,32768,61696,86,62
16,2,-1,32676,32770,32768,19,12
32,3,-2,32793,32768,32770,0,12
32,1,0,32778,32770,61696,86,50
16,2,-1,32684,32778,32770,19,12
32,3,-2,32801,32770,32778,0,12
32,1,0,32770,32778,61696,86,38
32,1,0,32768,32778,61696,86,26
32,1,0,32768,32778,61696,86,98
32,1,0,32768,32778,61696,14,13
32,1,0,32767,32778,61696,14,15
32,1,0,32767,32778,61696,14,16
32,1,0,32766,32778,61696,14,17
32,1,0,32766,32778,61696,14,18
32,1,0,32862,32778,61696,14,21
16,2,-1,32745,32862,32778,9,21
32,3,-2,32839,32778,32862,86,93
16,4,-3,32722,32839,32778,105,93
32,1,0,32768,32778,61696,14,2
32,1,0,32768,32778,61696,14,26
32,1,0,32770,32778,61696,14,38
32,1,0,32778,32778,61696,14,50
32,1,0,32770,32778,61696,14,62
32,1,0,32768,32778,61696,14,74
32,1,0,32778,32778,61696,84,74
32,1,0,32776,32778,61696,84,98
32,1,0,32776,32778,61696,12,2
32,1,0,32778,32778,61696,12,26
32,1,0,32769,32778,61696,60,49
32,1,0,32769,32778,61696,36,49
32,1,0,32769,32778,61696,72,50
32,1,0,32767,32778,61696,72,98
32,1,0,32767,32778,61696,24,2
32,1,0,32769,32778,61696,24,50
32,1,0,32769,32778,61696,99,100
32,1,0,32769,32778,61696,75,76
32,1,0,32769,32778,61696,51,52
32,1,0,32769,32778,61696,27,28
32,1,0,32769,32778,61696,3,4
32,1,1,32778,32728,61696,86,50
16,2,0,32684,61696,32728,19,12
32,3,-1,32801,32728,61696,0,12
32,3,-1,32801,32801,61696,0,12
32,3,-1,32681,32801,61696,50,54
16,2,0,32780,32801,32728,57,56
32,3,-1,32874,32780,32801,14,21
16,4,-2,32757,32801,32780,9,21
32,3,-1,32777,32780,32801,50,54
16,2,0,32769,32780,32728,105,104
32,3,-1,32863,32769,32780,14,21
16,4,-2,32746,32780,32769,9,21
32,3,-1,32766,32769,32780,50,54
16,2,0,32770,32769,32728,105,103
16,2,0,32769,32769,32728,9,8
16,2,0,32770,32769,32728,9,7
16,2,0,32779,32769,32728,91,90
16,2,0,32779,32769,32728,91,89
16,2,0,32780,32769,32728,91,88
16,2,0,32780,32769,32728,91,87
16,2,0,32780,32769,32728,91,86
16,2,0,32780,32769,32728,91,85
16,2,0,32778,32769,32728,91,92
16,2,0,32778,32769,32728,91,79
16,2,0,32776,32769,32728,91,67
16,2,0,32768,32769,32728,91,55
32,3,-1,32862,32768,32769,14,21
16,4,-2,32745,32769,32768,9,21
32,3,-1,32765,32768,32769,50,54
16,4,-1,32768,32769,32768,55,51
32,5,-2,32862,32768,32769,14,21
16,6,-3,32745,32769,32768,9,21
32,5,-2,32770,32768,32769,54,102
16,6,-3,32655,32769,32768,105,102
32,5,-2,32770,32768,32769,54,6
16,6,-3,32655,32769,32768,9,6
16,2,0,32776,32768,32728,91,43
16,2,0,32778,32768,32728,91,31
16,2,0,32778,32768,32728,91,103
16,2,0,32779,32768,32728,19,18
16,2,0,32779,32768,32728,19,17
16,2,0,32780,32768,32728,19,16
16,2,0,32780,32768,32728,19,15
16,2,0,32778,32768,32728,19,20
16,2,0,32778,32768,32728,19,7
16,2,0,32778,32768,32728,19,31
16,2,0,32776,32768,32728,19,43
16,2,0,32768,32768,32728,19,55
16,2,0,32776,32768,32728,19,67
16,2,0,32778,32768,32728,19,79
16,2,0,32768,32768,32728,93,79
16,2,0,32770,32768,32728,93,103
16,2,0,32770,32768,32728,21,7
16,2,0,32768,32768,32728,21,31
16,2,0,32777,32768,32728,69,56
16,2,0,32777,32768,32728,45,56
16,2,0,32777,32768,32728,81,55
16,2,0,32779,32768,32728,81,103
16,2,0,32779,32768,32728,33,7
16,2,0,32777,32768,32728,33,55
16,2,0,32777,32768,32728,102,101
16,2,0,32777,32768,32728,78,77
16,2,0,32777,32768,32728,54,53
16,2,0,32777,32768,32728,30,29
16,2,0,32777,32768,32728,6,5
32,1,1,32766,32768,32769,48,49
16,2,0,32672,32769,32768,19,12
32,3,-1,32789,32768,32769,0,12
16,4,-2,32695,32769,32768,91,84
32,5,-3,32812,32768,32769,96,84
16,2,0,32672,32769,32768,91,84
32,3,-1,32789,32768,32769,96,84
16,4,-2,32695,32769,32768,19,12
32,5,-3,32812,32768,32769,0,12
16,2,0,32768,32769,32768,57,56
32,3,-1,32862,32768,32769,86,93
16,4,-2,32745,32769,32768,105,93
32,3,-1,32862,32768,32769,14,21
16,4,-2,32745,32769,32768,9,21
32,1,1,32777,32768,32769,96,97
16,2,0,32683,32769,32768,19,12
32,3,-1,32800,32768,32769,0,12
16,4,-2,32706,32769,32768,91,84
32,3,-1,32800,32768,32769,0,12
16,4,-2,32706,32769,32768,91,84
32,3,-1,32777,32768,32769,86,93
16,4,-2,32660,32769,32768,105,93
32,1,1,32776,32768,32769,96,98
16,2,0,32682,32769,32768,19,12
32,3,-1,32799,32768,32769,0,12
16,4,-2,32705,32769,32768,91,84
32,3,-1,32799,32768,32769,0,12
16,4,-2,32705,32769,32768,91,84
32,3,-1,32776,32768,32769,86,93
16,4,-2,32659,32769,32768,105,93
32,1,1,32777,32768,32769,0,1
16,2,0,32683,32769,32768,19,12
32,3,-1,32777,32768,32769,86,93
16,4,-2,32660,32769,32768,105,93
32,1,1,32776,32768,32769,0,2
16,2,0,32682,32769,32768,19,12
32,3,-1,32776,32768,32769,86,93
16,4,-2,32659,32769,32768,105,93
32,1,1,32768,32768,32769,86,85
16,2,0,32674,32769,32768,19,12
32,3,-1,32791,32768,32769,0,12
16,4,-2,32697,32769,32768,91,84
32,5,-3,32814,32768,32769,96,84
16,2,0,32770,32769,32768,57,56
16,2,0,32674,32769,32768,91,84
32,3,-1,32791,32768,32769,96,84
16,4,-2,32697,32769,32768,19,12
32,5,-3,32814,32768,32769,0,12
16,2,0,32759,32769,32768,105,104
32,3,-1,32853,32768,32769,85,93
16,4,-2,32759,32769,32768,19,12
32,5,-3,32876,32768,32769,0,12
16,2,0,32760,32769,32768,105,103
32,3,-1,32854,32768,32769,85,93
16,4,-2,32760,32769,32768,19,12
32,5,-3,32877,32768,32769,0,12
16,2,0,32759,32769,32768,9,8
32,3,-1,32853,32768,32769,85,93
16,4,-2,32736,32769,32768,105,93
32,3,-1,32853,32768,32769,14,21
