0,48,49,-1,255,255,3840,4096,0,255,255
1,91,84,1,255,255,32766,32766,0,0,0
2,96,84,-1,255,255,32672,32672,0,0,0
1,19,12,1,255,255,32766,32766,0,0,0
2,0,12,-1,255,255,32672,32672,0,0,0
0,96,97,-1,255,255,32766,32766,0,48,49
1,91,84,1,255,255,32777,32777,0,255,255
2,14,21,1,255,255,32766,32683,0,0,0
3,9,21,-1,255,255,32777,32777,0,0,0
0,96,98,-1,255,255,32766,32766,0,48,49
1,91,84,-1,255,255,32776,32776,0,255,255
2,14,21,1,255,255,32766,32682,0,0,0
3,9,21,-1,255,255,32776,32776,0,0,0
0,0,1,-1,255,255,32766,32766,0,48,49
1,91,84,-1,255,255,32777,32777,0,255,255
2,96,84,-1,255,255,32766,32683,0,0,0
1,19,12,2,255,255,32777,32777,0,255,255
2,86,93,1,255,255,32766,32683,0,0,0
3,105,93,-1,255,255,32777,32777,0,0,0
0,0,2,-1,255,255,32766,32766,0,48,49
1,91,84,-1,255,255,32776,32776,0,255,255
2,96,84,-1,255,255,32766,32682,0,0,0
1,19,12,0,255,255,32776,32776,0,255,255
2,86,93,1,255,255,32766,32682,0,0,0
3,105,93,-1,255,255,32776,32776,0,0,0
0,86,85,-1,255,255,32766,32766,0,48,49
1,19,12,-1,255,255,32768,32768,0,255,255
2,0,12,-1,255,255,32766,32674,0,0,0
1,91,84,0,255,255,32768,32768,0,255,255
2,96,84,-1,255,255,32766,32674,0,0,0
0,86,87,-1,255,255,32768,32768,0,86,85
0,86,88,-1,255,255,32768,32768,0,86,85
0,86,89,-1,255,255,32768,32768,0,86,85
0,86,90,-1,255,255,32768,32768,0,86,85
0,86,93,-1,255,255,32768,32768,0,86,85
1,105,93,-1,255,255,32862,32862,0,255,255
2,14,21,1,255,255,32768,32745,0,0,0
3,9,21,-1,255,255,32839,32839,0,0,0
0,86,74,-1,255,255,32768,32768,0,86,85
0,86,62,-1,255,255,32768,32768,0,86,85
1,19,12,-1,255,255,32770,32770,0,255,255
2,0,12,-1,255,255,32768,32676,0,0,0
0,86,50,-1,255,255,32770,32770,0,86,62
1,19,12,-1,255,255,32778,32778,0,255,255
2,0,12,-1,255,255,32770,32684,0,0,0
0,86,38,-1,255,255,32778,32778,0,86,50
0,86,26,-1,255,255,32778,32778,0,86,50
0,86,98,-1,255,255,32778,32778,0,86,50
0,14,13,-1,255,255,32778,32778,0,86,50
0,14,15,-1,255,255,32778,32778,0,86,50
0,14,16,-1,255,255,32778,32778,0,86,50
0,14,17,-1,255,255,32778,32778,0,86,50
0,14,18,-1,255,255,32778,32778,0,86,50
0,14,21,-1,255,255,32778,32778,0,86,50
1,9,21,-1,255,255,32862,32862,0,255,255
2,86,93,1,255,255,32778,32745,0,0,0
3,105,93,-1,255,255,32839,32839,0,0,0
0,14,2,-1,255,255,32778,32778,0,86,50
0,14,26,-1,255,255,32778,32778,0,86,50
0,14,38,-1,255,255,32778,32778,0,86,50
0,14,50,-1,255,255,32778,32778,0,86,50
0,14,62,-1,255,255,32778,32778,0,86,50
0,14,74,-1,255,255,32778,32778,0,86,50
0,84,74,-1,255,255,32778,32778,0,86,50
0,84,98,-1,255,255,32778,32778,0,86,50
0,12,2,-1,255,255,32778,32778,0,86,50
0,12,26,-1,255,255,32778,32778,0,86,50
0,60,49,-1,255,255,32778,32778,0,86,50
0,36,49,-1,255,255,32778,32778,0,86,50
0,72,50,-1,255,255,32778,32778,0,86,50
0,72,98,-1,255,255,32778,32778,0,86,50
0,24,2,-1,255,255,32778,32778,0,86,50
0,24,50,-1,255,255,32778,32778,0,86,50
0,99,100,-1,255,255,32778,32778,0,86,50
0,75,76,-1,255,255,32778,32778,0,86,50
0,51,52,-1,255,255,32778,32778,0,86,50
0,27,28,-1,255,255,32778,32778,0,86,50
0,3,4,-1,255,255,32778,32778,0,86,50
0,86,50,-1,255,255,32728,4096,1,86,50
1,19,12,-1,255,255,61696,61440,0,255,255
2,0,12,-1,255,255,32728,32684,0,0,0
2,0,12,1,255,255,32801,32801,0,0,0
2,50,54,1,255,255,32801,32801,0,0,0
1,57,56,2,255,255,32801,32801,0,255,255
2,14,21,1,255,255,32780,32780,0,0,0
3,9,21,-1,255,255,32801,32874,0,0,0
2,50,54,1,255,255,32780,32780,0,0,0
1,105,104,2,255,255,32780,32780,0,255,255
2,14,21,1,255,255,32769,32769,0,0,0
3,9,21,-1,255,255,32780,32863,0,0,0
2,50,54,1,255,255,32769,32769,0,0,0
1,105,103,2,255,255,32769,32769,0,255,255
1,9,8,2,255,255,32769,32769,0,255,255
1,9,7,2,255,255,32769,32769,0,255,255
1,91,90,2,255,255,32769,32769,0,255,255
1,91,89,2,255,255,32769,32769,0,255,255
1,91,88,2,255,255,32769,32769,0,255,255
1,91,87,2,255,255,32769,32769,0,255,255
1,91,86,2,255,255,32769,32769,0,255,255
1,91,85,2,255,255,32769,32769,0,255,255
1,91,92,2,255,255,32769,32769,0,255,255
1,91,79,2,255,255,32769,32769,0,255,255
1,91,67,2,255,255,32769,32769,0,255,255
1,91,55,2,255,255,32769,32769,0,255,255
2,14,21,1,255,255,32768,32768,0,0,0
3,9,21,-1,255,255,32769,32862,0,0,0
2,50,54,1,255,255,32768,32768,0,0,0
3,19,12,-30,255,255,32769,61440,0,0,0
3,55,51,-30,255,255,32769,61440,0,0,0
4,14,21,1,255,255,32768,32768,0,0,0
5,9,21,-1,255,255,32769,32862,0,0,0
4,54,102,1,255,255,32768,32768,0,0,0
5,105,102,-1,255,255,32769,32770,0,0,0
4,54,6,1,255,255,32768,32768,0,0,0
5,9,6,-1,255,255,32769,32770,0,0,0
1,91,43,2,255,255,32768,32768,0,255,255
1,91,31,2,255,255,32768,32768,0,255,255
1,91,103,2,255,255,32768,32768,0,255,255
1,19,18,2,255,255,32768,32768,0,255,255
1,19,17,2,255,255,32768,32768,0,255,255
1,19,16,2,255,255,32768,32768,0,255,255
1,19,15,2,255,255,32768,32768,0,255,255
1,19,20,2,255,255,32768,32768,0,255,255
1,19,7,2,255,255,32768,32768,0,255,255
1,19,31,2,255,255,32768,32768,0,255,255
1,19,43,2,255,255,32768,32768,0,255,255
1,19,55,2,255,255,32768,32768,0,255,255
1,19,67,2,255,255,32768,32768,0,255,255
1,19,79,2,255,255,32768,32768,0,255,255
1,93,79,2,255,255,32768,32768,0,255,255
1,93,103,2,255,255,32768,32768,0,255,255
1,21,7,2,255,255,32768,32768,0,255,255
1,21,31,2,255,255,32768,32768,0,255,255
1,69,56,2,255,255,32768,32768,0,255,255
1,45,56,2,255,255,32768,32768,0,255,255
1,81,55,2,255,255,32768,32768,0,255,255
1,81,103,2,255,255,32768,32768,0,255,255
1,33,7,2,255,255,32768,32768,0,255,255
1,33,55,2,255,255,32768,32768,0,255,255
1,102,101,2,255,255,32768,32768,0,255,255
1,78,77,2,255,255,32768,32768,0,255,255
1,54,53,2,255,255,32768,32768,0,255,255
1,30,29,2,255,255,32768,32768,0,255,255
1,6,5,2,255,255,32768,32768,0,255,255
0,48,49,-1,86,50,32768,32768,0,86,50
1,19,12,-1,255,255,32769,61440,0,91,55
2,0,12,-1,255,255,32768,32672,0,255,255
3,91,84,1,255,255,32769,32789,0,0,0
4,96,84,-1,255,255,32768,32695,0,0,0
1,91,84,0,255,255,32769,32789,0,91,55
2,96,84,-1,255,255,32768,32672,0,255,255
3,19,12,1,255,255,32769,32789,0,0,0
4,0,12,-1,255,255,32768,32695,0,0,0
1,57,56,2,255,255,32769,32789,0,91,55
2,86,93,1,255,255,32768,32768,0,255,255
3,105,93,-1,255,255,32769,32862,0,0,0
2,14,21,1,255,255,32768,32768,0,255,255
3,9,21,-1,255,255,32769,32862,0,0,0
0,96,97,-1,86,50,32768,32768,0,86,50
1,19,12,-1,255,255,32769,61440,0,91,55
2,0,12,-1,255,255,32768,32683,0,255,255
3,91,84,1,255,255,32769,32800,0,0,0
2,0,12,1,255,255,32768,32706,0,255,255
3,91,84,-1,255,255,32769,32800,0,0,0
2,86,93,1,255,255,32768,32706,0,255,255
3,105,93,-1,255,255,32769,32777,0,0,0
0,96,98,-1,86,50,32768,32768,0,86,50
1,19,12,-1,255,255,32769,61440,0,91,55
2,0,12,-1,255,255,32768,32682,0,255,255
3,91,84,-1,255,255,32769,32799,0,0,0
2,0,12,1,255,255,32768,32705,0,255,255
3,91,84,-1,255,255,32769,32799,0,0,0
2,86,93,1,255,255,32768,32705,0,255,255
3,105,93,-1,255,255,32769,32776,0,0,0
0,0,1,-1,86,50,32768,32768,0,86,50
1,19,12,-1,255,255,32769,61440,0,91,55
2,86,93,1,255,255,32768,32683,0,255,255
3,105,93,-1,255,255,32769,32777,0,0,0
0,0,2,-1,86,50,32768,32768,0,86,50
1,19,12,-1,255,255,32769,61440,0,91,55
2,86,93,1,255,255,32768,32682,0,255,255
3,105,93,-1,255,255,32769,32776,0,0,0
0,86,85,-1,86,50,32768,32768,0,86,50
1,19,12,-1,255,255,32769,61440,0,91,55
2,0,12,-1,255,255,32768,32674,0,255,255
3,91,84,-1,255,255,32769,32791,0,0,0
4,96,84,-1,255,255,32768,32697,0,0,0
1,57,56,0,255,255,32769,32791,0,91,55
1,91,84,2,255,255,32769,32770,0,91,55
2,96,84,-1,255,255,32768,32674,0,255,255
3,19,12,2,255,255,32769,32791,0,0,0
4,0,12,-1,255,255,32768,32697,0,0,0
1,105,104,2,255,255,32769,32770,0,91,55
2,85,93,1,255,255,32768,32759,0,255,255
3,19,12,2,255,255,32769,32853,0,0,0
4,0,12,-1,255,255,32768,32759,0,0,0
1,105,103,2,255,255,32769,32770,0,91,55
2,85,93,-1,255,255,32768,32760,0,255,255
3,19,12,2,255,255,32769,32854,0,0,0
4,0,12,-1,255,255,32768,32760,0,0,0
1,9,8,2,255,255,32769,32770,0,91,55
2,85,93,-1,255,255,32768,32759,0,255,255
3,105,93,-1,255,255,32769,32853,0,0,0
2,14,21,2,255,255,32768,32759,0,255,255
3,91,84,-1,255,255,32769,32853,0,0,0
4,96,84,-1,255,255,32768,32759,0,0,0
